Title;Artist
 Sem Teu Amor Nada E Igual;Alexandre Pires 
 Sissi;Alexandre Pires 
 So Por Um Momento;Alexandre Pires 
 Ta Por Fora;Alexandre Pires 
 Tira Ela De Mim;Alexandre Pires 
 Usted Se Me Llevo La Vida;Alexandre Pires 
 Vem Me Amar;Alexandre Pires 
 Voce Roubou A Minha Vida;Alexandre Pires 
 Final Feliz;Alexandre Pires E Caetano Veloso 
 Delirio De Amor;Alexandre Pires E Grupo Revelacao 
 Que Trem E Esse;Alexandre Pires E Gustavo Lima 
 Estrela Cadente;Alexandre Pires E Ivete Sangalo 
 Eu Sou O Samba;Alexandre Pires E Seu Jorge 
 Vitoria Absoluta;Alice Maciel 
 A Mensagem Da Cruz;Aline Barros 
 Ao Unico;Aline Barros 
 Apaixonado;Aline Barros 
 Bem Mais Que Tudo;Aline Barros 
 Caminho De Milagres;Aline Barros 
 Casa Do Pai;Aline Barros 
 Consagracao;Aline Barros 
 Depois Da Cruz;Aline Barros 
 Deus Do Impossivel;Aline Barros 
 E Primavera;Aline Barros 
 Fico Feliz;Aline Barros 
 Inesqueciveis Gestos;Aline Barros 
 Lugar Seguro;Aline Barros 
 Nao Ha Deus Maior;Aline Barros 
 O Poder Do Teu Amor;Aline Barros 
 Para Sempre Te Adorarei;Aline Barros 
 Primeira Essencia;Aline Barros 
 Recomecar;Aline Barros 
 Rendido Estou;Aline Barros 
 Ressuscita Me;Aline Barros 
 Se Clamares;Aline Barros 
 Seremos Sempre Um;Aline Barros 
 Sonda;Aline Barros 
 Tua Palavra;Aline Barros 
 Vento Do Espirito;Aline Barros 
 Vitoria No Deserto;Aline Barros 
 Dia De Parque;Aline Barros E Cia 
 Flor Morena;Aline Calixto 
 Lagrima Das Inimigas;Alinne Rosa 
 Pra Dancar Vaneira;Alma Serrana 
 Conselho;Almir Guineto 
 Insensato Destino;Almir Guineto E Zeca Pagodinho 
 Fuscao Preto;Almir Rogerio 
 Beijinho Doce;Almir Sater 
 Chalana;Almir Sater 
 Rei Do Gado;Almir Sater 
 Tocando Em Frente;Almir Sater 
 Trem Do Pantanal;Almir Sater 
 Um Violeiro Toca;Almir Sater 
 Jeito De Mato;Almir Sater E Paula Fernandes 
 Villa Mix (Suave);Alok E Matheus E Kauan 
 Entra E Sai De Amor;Altay Veloso 
 A Pretendida;Altemar Dutra 
 Alguem Me Disse;Altemar Dutra 
 Brigas;Altemar Dutra 
 Castigo;Altemar Dutra 
 Que Queres Tu De Mim;Altemar Dutra 
 Risque;Altemar Dutra 
 Rosario De Esperanca;Altemar Dutra 
 Sentimental Demais;Altemar Dutra 
 Nao Ha Barreiras;Alvaro Tito 
 24 Horas No Ar;Amado Batista 
 4 Horas No Ar;Amado Batista 
 Aeromoca;Amado Batista 
 Ah Se Eu Pudesse;Amado Batista 
 Alucinacao;Amado Batista 
 Amar Amar;Amado Batista 
 Amigo;Amado Batista 
 Amor Perfeito;Amado Batista 
 Casa Sob Viadutos;Amado Batista 
 Casamento Forcado;Amado Batista 
 Chance;Amado Batista 
 Cuida De Mim;Amado Batista 
 Desisto;Amado Batista 
 Desligue A Luz E O Telefone Amor;Amado Batista 
 Deusa Nua;Amado Batista 
 Estou So;Amado Batista 
 Estrada Velha;Amado Batista 
 Eu E Ela;Amado Batista 
 Eu Quero Eh Namorar;Amado Batista 
 Eu Sou Seu Fa;Amado Batista 
 Folha Seca;Amado Batista 
 Forca Do Amor;Amado Batista 
 Lista De Compras;Amado Batista 
 Menininha Meu Amor;Amado Batista 
 Meu Bem;Amado Batista 
 Meu Ex Amor;Amado Batista 
 Monotonia;Amado Batista 
 Muitos Compromissos;Amado Batista 
 Nao Faca Jamais Como Eu Fiz;Amado Batista 
 Nao Faz Sentido;Amado Batista 
 Nao Quero Falar Com Ela;Amado Batista 
 Nesta Cidade;Amado Batista 
 Noite Linda;Amado Batista 
 Nosso Amor Continua;Amado Batista 
 O Boemio;Amado Batista 
 O Fruto Do Nosso Amor;Amado Batista 
 O Julgamento;Amado Batista 
 O Meu Telefone;Amado Batista 
 Obrigado A Desistir;Amado Batista 
 Olhos Verdes;Amado Batista 
 Perdao Meu Bem;Amado Batista 
 Princesa;Amado Batista 
 Processado Por Amor;Amado Batista 
 Reclamando Sua Ausencia;Amado Batista 
 Romance No Deserto;Amado Batista 
 Secretaria;Amado Batista 
 Seguindo A Multidao;Amado Batista 
 Sei;Amado Batista 
 Sem Voce;Amado Batista 
 Serenata;Amado Batista 
 Seresteiro Das Noites;Amado Batista 
 Sua Partida;Amado Batista 
 Te Amei, Te Amo E Por Voce Eu Chorei;Amado Batista 
 Tum Tum De Saudade;Amado Batista 
 Um Cara Feliz;Amado Batista 
 Va Embora;Amado Batista 
 Velha Carta;Amado Batista 
 Vem Morena;Amado Batista 
 Venha Ate Aqui;Amado Batista 
 Vida Cor De Rosa;Amado Batista 
 Voce Nao Voltou;Amado Batista 
 Sou Igualzinho A Voce;Amado Batista E Elias Wagner 
 Cartas Sobre A Mesa;Amado Batista E Leonardo 
 Barco Negro;Amalia Rodrigues 
 Nem As Paredes Confesso;Amalia Rodrigues 
 Foi Deus Quem Fez Voce;Amelinha 
 Mulher Nova, Bonita E Carinhosa;Amelinha 
 Esconderijo;Ana Canas 
 A Cancao Tocou Na Hora Errada;Ana Carolina 
 Aqui;Ana Carolina 
 Cabide;Ana Carolina 
 Carvao;Ana Carolina 
 Combustivel;Ana Carolina 
 Confesso;Ana Carolina 
 Coracao Selvagem;Ana Carolina 
 Dois Bicudos;Ana Carolina 
 E Magoa;Ana Carolina 
 Elevador;Ana Carolina 
 Encostar Na Tua;Ana Carolina 
 Eu Sei Que Vou Te Amar;Ana Carolina 
 Garganta;Ana Carolina 
 Hoje Eu To Sozinha;Ana Carolina 
 Nada Pra Mim;Ana Carolina 
 Nua;Ana Carolina 
 Pra Rua Me Levar;Ana Carolina 
 Problemas;Ana Carolina 
 Que Se Danem Os Nos;Ana Carolina 
 Quem De Nos Dois;Ana Carolina 
 Rosas;Ana Carolina 
 Ruas De Outono;Ana Carolina 
 Uma Louca Tempestade;Ana Carolina 
 Vai;Ana Carolina 
 Vestido Estampado;Ana Carolina 
 Resta;Ana Carolina E Chiara Civello 
 Simplesmente Aconteceu;Ana Carolina E Chiara Civello 
 Entreolhares;Ana Carolina E John Legend 
 Mais Que A Mim;Ana Carolina E Maria Gadu 
 E Isso Ai;Ana Carolina E Seu Jorge 
 Ta Rindo Eh;Ana Carolina E Seu Jorge 
 Desperta Wake;Ana Nobrega 
 Deus Igual A Ti;Ana Nobrega 
 Estou Aqui;Ana Nobrega 
 Eu Navegarei;Ana Nobrega 
 Mais;Ana Nobrega 
 Nao Me Deixes Desistir;Ana Nobrega 
 Oceanos;Ana Nobrega 
 Teu Amor;Ana Nobrega 
 Vinde A Mim;Ana Nobrega 
 Promete;Ana Vilela 
 Trem;Ana Vilela E Luan Santana 
 Singular;Anavitoria 
 A Igreja Vem;Anderson Freire 
 A Senha;Anderson Freire 
 Acalma Meu Coracao;Anderson Freire 
 Bom Samaritano;Anderson Freire 
 Cancao Do Ceu;Anderson Freire 
 Capacita;Anderson Freire 
 Colisao;Anderson Freire 
 Coracao De Jo;Anderson Freire 
 Coracao Partido;Anderson Freire 
 Coracao Valente;Anderson Freire 
 Crescimento;Anderson Freire 
 Culto Do Calvario;Anderson Freire 
 Deus Nao Te Rejeita;Anderson Freire 
 Efesios 6;Anderson Freire 
 Forca E Sabedoria;Anderson Freire 
 Identidade;Anderson Freire 
 Imperfeito;Anderson Freire 
 Mamae, Nao Sei Viver Sem Ti;Anderson Freire 
 Meu Carpinteiro;Anderson Freire 
 Meu Hospital;Anderson Freire 
 Raridade;Anderson Freire 
 Relacionamento Com Deus;Anderson Freire 
 Um Novo Endereco;Anderson Freire 
 Dna;Andeson Barony 
 Beber Cair Levantar;Andre E Adriano 
 Rapadura;Andre E Adriano 
 Vira E Mexe;Andre E Adriano 
 Angel;Andre Leono 
 Olha Pra Mim;Andre Leono 
 Desperta;Andre Valadao 
 Deus De Promessas;Andre Valadao 
 Milagre;Andre Valadao 
 Milagres;Andre Valadao 
 Pela Fe;Andre Valadao 
 Porque Ele Vive;Andre Valadao 
 Quero Agradecer;Andre Valadao 
 Rude Cruz;Andre Valadao 
 Solta O Cabo Da Nau;Andre Valadao 
 Vencendo Vem Jesus;Andre Valadao 
 Credenciais De Deus;Andrea Fontes 
 O Diario;Andrea Fontes 
 Foi Deus;Angela Maria 
 Tango Pra Tereza;Angela Maria 
 Escuta;Angela Maria E Emilio Santiago 
 Amor Meu Grande Amor;Angela Ro Ro 
 Simples Carinho;Angela Ro Ro 
Vou de Taxi;Angelica
 Toque De Magica;Angelica E Chayanne 
 Rebirth;Angra 
 Bang;Anitta 
 Bla Bla Bla;Anitta 
 Deixa Ele Sofrer;Anitta 
 Essa Mina E Louca;Anitta 
 Eu Vou Ficar;Anitta 
 Fica Tudo Bem;Anitta 
 Medicina;Anitta 
 Meiga E Abusada;Anitta 
 Menina Ma;Anitta 
 Na Batida;Anitta 
 Nao Para;Anitta 
 No Meu Taleto;Anitta 
 Paradinha;Anitta 
 Parei;Anitta 
 Proposta;Anitta 
 Ritmo Perfeito;Anitta 
 Show Das Poderosas;Anitta 
 Ta Na Mira;Anitta 
 Zen;Anitta 
 Totalmente Demais;Anitta E Duduzinho 
 Sim Ou Nao;Anitta E Maluma 
 Will I See You;Anitta E Poo Bear 
 Cobertor;Anitta E Projota 
 Cravo E Canela;Anitta E Vitin 
Totalmente Demais;Anitta part. Duduzinho
 Sua Cara;Anitta, Major Lazer E Pabllo Vittar 
 Vai Malandra;Anitta, Mc Zaac, Maejor, Tropkillaz E DJ Yuri Martins 
 Festa De Arromba;Anos 60 
 Menina Linda;Anos 60 
 O Calhambeque;Anos 60 
 Pobre Menina;Anos 60 
 Bobeou A Gente Pimba;Antonio Carlos E Renato 
 Boca A Boca;Antonio Carlos E Renato 
 Pedindo Amor;Antonio Carlos E Renato 
 Sou Eu;Antonio Carlos E Renato 
 Como Vai Voce;Antonio Marcos 
 Eu Vou Ter Sempre Voce;Antonio Marcos 
 Oracao De Um Jovem Triste;Antonio Marcos 
 Por Amor Unchained Melody;Antonio Marcos 
 Porque Chora A Tarde;Antonio Marcos 
 Se Eu Pudesse Conversar Com Deus;Antonio Marcos 
 Sonhos De Um Palhaco;Antonio Marcos 
 Tenho Um Amor Melhor Que O Seu;Antonio Marcos 
 Volte Amor;Antonio Marcos E Vanusa 
 Bebendo Mais Que Opala;Antony E Gabriel 
 Pinga Boa Da Fogo;Antony E Gabriel 
 Se Nao For Pra Dar Pt;Antony E Gabriel 
 Se Nao For Pra Dar Pt Nem Vou;Antony E Gabriel 
 Seu Padre;Antony E Gabriel 
 Te Amo Pinga;Antony E Gabriel 
 Te Amando Mais Que Pinga;Antony E Gabriel E Munhoz E Mariano 
 Bonito Pra Voce;Antony E Gabriel E Pedro Paulo E Alex 
 Pinga E Pegacao;Antony E Gabriel E Pedro Paulo E Alex 
 Amantes;Araketu 
 Baianidadenago;Araketu 
 Bom Demais;Araketu 
 Carta Branca;Araketu 
 Face Oculta;Araketu 
 Mal Acostumado;Araketu 
 Minha Razao De Viver;Araketu 
 Pergunte Pro Seu Coracao;Araketu 
 Tentacao;Araketu 
 Movimento;Aretuza Lovi E Iza 
 Joga Bunda;Aretuza Lovi, Pabllo Vittar, Gloria Groove 
 Deserto;Arianne 
 Meu Amor Virou Gente;Arianne 
 Oracao Do Amor;Arianne 
 Estou Em Guerra;Ariely Bonatti 
 Pra Ser Eterno;Ariely Bonatti 
 Tua Presenca;Ariely Bonatti 
 Meu Lugar;Arlindo Cruz 
 Da Musica;Arlindo Cruz E Sombrinha 
 Desenho De Deus;Armandinho 
 Folha De Bananeira;Armandinho 
 Outra Noite Que Se Vai;Armandinho 
 Pescador;Armandinho 
 Semente;Armandinho 
 Sentimento;Armandinho 
 Ursinho De Dormir;Armandinho 
 Vida Dura;Arnaldo Antunes 
Fricote;Art Popular
 Agamamou;Art Popular 
 Bom Bocado;Art Popular 
 Nani;Art Popular 
